"codigoEvento";"tipoEvento";"codigoTCE";"naturezaEvento"
"1";"VENCIMENTO";"N";"N"
"2";"VENCIMENTO";"N";"B"
"3";"VENCIMENTO";"2";"B"
"4";"VENCIMENTO";"4";"B"
"5";"VENCIMENTO";"40";"B"
"6";"VENCIMENTO";"N";"N"
"7";"VENCIMENTO";"99";"G"
"8";"VENCIMENTO";"N";"G"
"9";"VENCIMENTO";"N";"N"
"10";"VENCIMENTO";"N";"G"
"11";"VENCIMENTO";"N";"G"
"12";"VENCIMENTO";"20";"G"
"13";"VENCIMENTO";"20";"G"
"14";"VENCIMENTO";"N";"G"
"15";"VENCIMENTO";"N";"G"
"16";"VENCIMENTO";"N";"G"
"17";"VENCIMENTO";"N";"G"
"18";"VENCIMENTO";"N";"G"
"19";"VENCIMENTO";"N";"G"
"20";"VENCIMENTO";"N";"G"
"21";"VENCIMENTO";"25";"G"
"22";"VENCIMENTO";"19";"G"
"23";"VENCIMENTO";"N";"G"
"24";"VENCIMENTO";"19";"G"
"25";"VENCIMENTO";"N";"N"
"26";"VENCIMENTO";"N";"N"
"27";"VENCIMENTO";"N";"N"
"28";"VENCIMENTO";"99";"G"
"29";"VENCIMENTO";"N";"N"
"30";"VENCIMENTO";"21";"G"
"31";"VENCIMENTO";"N";"N"
"32";"VENCIMENTO";"N";"N"
"33";"VENCIMENTO";"N";"N"
"34";"VENCIMENTO";"N";"N"
"35";"VENCIMENTO";"N";"B"
"36";"INFORMATIVO_MAIS";"N";"N"
"37";"INFORMATIVO_MAIS";"N";"N"
"38";"VENCIMENTO";"98";"D"
"39";"VENCIMENTO";"N";"N"
"40";"DESCONTO";"71";"D"
"41";"INFORMATIVO_MENOS";"98";"D"
"42";"VENCIMENTO";"N";"D"
"43";"DESCONTO";"N";"D"
"44";"DESCONTO";"N";"D"
"45";"DESCONTO";"98";"D"
"46";"DESCONTO";"98";"D"
"47";"DESCONTO";"98";"D"
"48";"DESCONTO";"N";"N"
"49";"DESCONTO";"N";"D"
"50";"DESCONTO";"5";"D"
"51";"DESCONTO";"5";"D"
"52";"DESCONTO";"N";"N"
"53";"DESCONTO";"N";"N"
"54";"DESCONTO";"N";"N"
"55";"DESCONTO";"N";"N"
"56";"DESCONTO";"10";"D"
"57";"DESCONTO";"10";"D"
"58";"DESCONTO";"6";"D"
"59";"DESCONTO";"N";"N"
"60";"DESCONTO";"N";"N"
"61";"DESCONTO";"N";"N"
"62";"DESCONTO";"N";"N"
"63";"DESCONTO";"N";"N"
"64";"DESCONTO";"N";"N"
"65";"DESCONTO";"N";"N"
"66";"DESCONTO";"N";"N"
"67";"VENCIMENTO";"N";"N"
"68";"VENCIMENTO";"99";"G"
"69";"DESCONTO";"N";"N"
"70";"DESCONTO";"N";"N"
"71";"VENCIMENTO";"N";"N"
"72";"VENCIMENTO";"N";"N"
"73";"VENCIMENTO";"N";"N"
"74";"VENCIMENTO";"N";"N"
"75";"VENCIMENTO";"23";"G"
"76";"VENCIMENTO";"N";"N"
"77";"VENCIMENTO";"23";"G"
"78";"VENCIMENTO";"N";"N"
"79";"VENCIMENTO";"N";"N"
"80";"VENCIMENTO";"23";"G"
"81";"VENCIMENTO";"N";"N"
"82";"VENCIMENTO";"21";"G"
"83";"VENCIMENTO";"N";"N"
"84";"VENCIMENTO";"N";"N"
"85";"VENCIMENTO";"N";"N"
"86";"INFORMATIVO_MAIS";"N";"N"
"87";"VENCIMENTO";"N";"N"
"88";"DESCONTO";"5";"D"
"89";"DESCONTO";"N";"N"
"90";"DESCONTO";"N";"N"
"91";"DESCONTO";"10";"D"
"92";"DESCONTO";"6";"D"
"93";"VENCIMENTO";"N";"N"
"94";"VENCIMENTO";"N";"N"
"95";"DESCONTO";"N";"N"
"96";"VENCIMENTO";"98";"G"
"97";"VENCIMENTO";"23";"G"
"98";"VENCIMENTO";"N";"N"
"99";"VENCIMENTO";"23";"G"
"100";"VENCIMENTO";"100";"G"
"101";"VENCIMENTO";"N";"N"
"102";"VENCIMENTO";"23";"G"
"103";"VENCIMENTO";"N";"N"
"104";"VENCIMENTO";"23";"G"
"105";"VENCIMENTO";"23";"G"
"106";"VENCIMENTO";"23";"G"
"107";"VENCIMENTO";"23";"G"
"108";"VENCIMENTO";"N";"N"
"109";"VENCIMENTO";"N";"N"
"110";"VENCIMENTO";"N";"N"
"111";"VENCIMENTO";"N";"N"
"112";"VENCIMENTO";"N";"N"
"113";"INFORMATIVO_MAIS";"N";"N"
"114";"INFORMATIVO_MAIS";"N";"N"
"115";"INFORMATIVO_MAIS";"N";"N"
"116";"DESCONTO";"N";"N"
"117";"VENCIMENTO";"N";"N"
"118";"VENCIMENTO";"N";"N"
"119";"DESCONTO";"N";"N"
"120";"VENCIMENTO";"60";"G"
"121";"VENCIMENTO";"99";"G"
"122";"DESCONTO";"98";"D"
"123";"VENCIMENTO";"N";"N"
"124";"DESCONTO";"N";"N"
"125";"DESCONTO";"N";"N"
"126";"VENCIMENTO";"N";"B"
"127";"VENCIMENTO";"N";"B"
"128";"VENCIMENTO";"N";"B"
"129";"VENCIMENTO";"N";"B"
"130";"INFORMATIVO_MAIS";"5";"D"
"131";"INFORMATIVO_MAIS";"N";"N"
"132";"INFORMATIVO_MAIS";"5";"D"
"133";"INFORMATIVO_MAIS";"N";"N"
"134";"INFORMATIVO_MAIS";"N";"N"
"135";"INFORMATIVO_MENOS";"N";"N"
"136";"INFORMATIVO_MENOS";"N";"N"
"137";"INFORMATIVO_MENOS";"N";"N"
"138";"INFORMATIVO_MENOS";"98";"D"
"139";"DESCONTO";"N";"N"
"140";"VENCIMENTO";"N";"N"
"141";"DESCONTO";"N";"N"
"142";"INFORMATIVO_MAIS";"N";"N"
"143";"VENCIMENTO";"N";"N"
"144";"VENCIMENTO";"N";"N"
"145";"VENCIMENTO";"N";"N"
"146";"VENCIMENTO";"N";"N"
"147";"VENCIMENTO";"N";"N"
"148";"DESCONTO";"N";"N"
"149";"INFORMATIVO_MENOS";"N";"N"
"150";"DESCONTO";"98";"D"
"151";"VENCIMENTO";"4";"B"
"152";"VENCIMENTO";"N";"N"
"153";"DESCONTO";"N";"N"
"154";"INFORMATIVO_MENOS";"N";"N"
"155";"INFORMATIVO_MENOS";"N";"N"
"156";"INFORMATIVO_MENOS";"N";"N"
"157";"INFORMATIVO_MENOS";"N";"N"
"158";"INFORMATIVO_MENOS";"N";"N"
"159";"INFORMATIVO_MAIS";"N";"N"
"160";"INFORMATIVO_MENOS";"N";"N"
"161";"VENCIMENTO";"2";"B"
"162";"VENCIMENTO";"N";"N"
"163";"VENCIMENTO";"N";"N"
"164";"VENCIMENTO";"N";"N"
"165";"VENCIMENTO";"N";"N"
"166";"VENCIMENTO";"N";"N"
"167";"VENCIMENTO";"N";"N"
"168";"INFORMATIVO_MAIS";"N";"N"
"169";"INFORMATIVO_MENOS";"N";"N"
"170";"INFORMATIVO_MAIS";"N";"N"
"171";"INFORMATIVO_MENOS";"N";"N"
"172";"INFORMATIVO_MAIS";"N";"N"
"173";"INFORMATIVO_MENOS";"N";"N"
"174";"INFORMATIVO_MAIS";"N";"N"
"175";"INFORMATIVO_MENOS";"N";"N"
"176";"VENCIMENTO";"N";"N"
"177";"VENCIMENTO";"N";"N"
"178";"VENCIMENTO";"N";"N"
"179";"VENCIMENTO";"N";"N"
"180";"VENCIMENTO";"N";"N"
"181";"INFORMATIVO_MENOS";"N";"N"
"182";"VENCIMENTO";"N";"N"
"183";"VENCIMENTO";"N";"N"
"184";"DESCONTO";"N";"N"
"185";"INFORMATIVO_MAIS";"N";"N"
"186";"INFORMATIVO_MENOS";"N";"N"
"187";"INFORMATIVO_MAIS";"N";"N"
"188";"DESCONTO";"N";"N"
"189";"INFORMATIVO_MENOS";"N";"N"
"190";"INFORMATIVO_MENOS";"N";"N"
"191";"INFORMATIVO_MENOS";"N";"N"
"192";"INFORMATIVO_MENOS";"N";"N"
"193";"INFORMATIVO_MENOS";"N";"N"
"194";"INFORMATIVO_MENOS";"N";"N"
"195";"VENCIMENTO";"N";"N"
"196";"INFORMATIVO_MENOS";"N";"N"
"197";"INFORMATIVO_MENOS";"N";"N"
"198";"INFORMATIVO_MENOS";"N";"N"
"199";"VENCIMENTO";"N";"N"
"200";"DESCONTO";"N";"N"
"201";"VENCIMENTO";"N";"N"
"202";"DESCONTO";"N";"N"
"203";"INFORMATIVO_MAIS";"N";"N"
"204";"INFORMATIVO_MAIS";"N";"N"
"205";"DESCONTO";"N";"N"
"206";"VENCIMENTO";"N";"N"
"207";"VENCIMENTO";"N";"N"
"208";"VENCIMENTO";"N";"N"
"209";"VENCIMENTO";"N";"N"
"210";"INFORMATIVO_MAIS";"98";"D"
"211";"VENCIMENTO";"N";"N"
"212";"DESCONTO";"N";"N"
"213";"DESCONTO";"N";"N"
"214";"INFORMATIVO_MENOS";"N";"N"
"215";"INFORMATIVO_MENOS";"N";"N"
"216";"INFORMATIVO_MENOS";"N";"N"
"217";"VENCIMENTO";"601";"G"
"218";"VENCIMENTO";"N";"N"
"219";"VENCIMENTO";"N";"N"
"220";"VENCIMENTO";"N";"N"
"221";"VENCIMENTO";"N";"N"
"222";"VENCIMENTO";"N";"N"
